dataset,recording_id,participant_id,event_count,sample_rate,duration_s
Kaggle,kaggle_A_A_223.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_224.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_225.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_226.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_227.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_228.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_229.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_23.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_230.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_231.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_232.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_233.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_234.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_235.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_236.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_237.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_238.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_239.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_24.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_240.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_241.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_242.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_243.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_244.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_245.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_246.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_247.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_248.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_249.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_25.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_250.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_251.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_252.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_253.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_254.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_255.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_256.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_257.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_258.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_259.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_26.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_260.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_261.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_262.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_263.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_264.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_265.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_266.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_267.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_268.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_269.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_27.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_270.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_271.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_272.wav,kaggle_participant,1,48000,0.4
